050413;7222;5099569;1;3;199;01;24;56.15;07/04/2013
170413;72252;5104613;;3;199;01;164;168.87;21/04/203;05/5/2013;16/06/2013
280313;72252;5096539;1;3;199;01;75;74.53;31/03/2013;14/04/2013
240413;72252;5108322;1;3;199;01;127;135.0;28/04/2013;12/05/2013
270313;72252;5096153;1;3;99;01;82;139.24;31/03/2013;28/04/2013
050413;72252;5099122;;3;99;01;437;314.32;07/04/2013;21/04/2013
100413;72252;5101601;1;3;99;01;4;20.68;14/04/2013
160413;72252;5104316;;3;199;01;28;74.89;21/04/2013;16/06/2013
090413;72252;5100931;;3;199;01;309;217.89;14/04/2013;28/04/2013
250413;72252;5108709;1;3;199;01;256;175.93;28/04/2013;12/05/2013
040413;72252;5093935;;3;199;01;3;16.87;07/04/2013
030413;72252;5098122;1;3;199;01;87;137.98;07/04/2013
120413;72252;5102801;1;3;199;01;170;178.26;14/04/2013;28/04/2013
